Ingredient,Ingredient Type,Description,Weather,Lunar Cycle,Biomes,Places to spawn,Availbale Areas,French Description,Available Areas Debug Zone,,,,,Occurence brute,Occurence pondérée (nb),Occurence pondérée (%),nb car (fr),nb car (en)
Brown Cap,Mushroom,A very common ingredient. Serves as a basis for most dishes.,"Sun, Cloud","New Moon, Half Moon, Full Moon, Shooting Stars",Forest,Dead Tree Trunk,Forest Entry,Un aliment très commun. Sert de base pour beaucoup de plats.,Forest Entry,,,,,8,16,67%,60,60
Raspberry,Berry,[placeholder],Cloud,"New Moon, Half Moon, Full Moon, Shooting Stars",Forest,Bush,Forest Entry,,Forest Entry,,,,,4,8,33%,0,13
Water Mushroom,Mushroom,"A mushroom gorged with water. However, it doesn't replace a good ol' glass of water.",Rain,"New Moon, Half Moon, Full Moon, Shooting Stars",Forest,"Dead Tree Trunk, Base Of Tree With Small Bushes","Forest Entry, Tree Path",Un champignon gorgé d'eau. Ne remplace pas un bon verre d'eau.,Forest Entry,Tree Path,,,,4,8,33%,62,84
Gleamberries,Berry,Berries that shine brighter than fireflies. It is said that they bring luck.,"Sun, Rain","Half Moon, Full Moon, Shooting Stars",Forest,Bush,Forest Entry,Des baies plus lumineuses que des lucioles. On dit qu'elles portent chance.,Forest Entry,,,,,6,14,58%,75,76
Umbrella Lily,Herb,A burgeoning sapling filled to the brim with refreshing sap. It feels like it could blossom at any moment.,Rain,"New Moon, Half Moon",Forest,Muddy Bank,"Forest Entry, Tree Path",Une pousse bourgeonnante gorgée de sève rafraîchissante. Elle se prépare à éclore.,Forest Entry,Tree Path,,,,2,5,21%,82,106
Umbrella Lily Flower,Herb,Quite the odorant flower. Its smell is synonym to a sunny day.,Sun,"New Moon, Full Moon, Shooting Stars",Forest,Muddy Bank,"Forest Entry, Tree Path",Une fleur odorante. Son odeur fait penser à une journée ensoleillée.,Forest Entry,Tree Path,,,(tend à être modifié),3,4,17%,68,62
Verdant Moss,Moss,A moss that can somehow grow straight up. Found in abundance in the forest.,"Sun, Cloud, Rain",Half Moon,Forest,Rock,"Tree Path, Rock Maze",Une mousse défiant la gravité. Se trouve en abondance dans la forêt.,,Tree Path,,Rock Maze,(tend à être modifié),3,12,50%,68,75
Catnip,Herb,[placeholder],"Sun, Cloud, Rain","New Moon, Shooting Stars",Forest,Grassy Patch,Tree Path,,,Tree Path,,,,6,6,25%,0,13
Jade Shroom,Mushroom,[placeholder],"Sun, Cloud","New Moon, Full Moon, Shooting Stars",Forest,Base Of Tree With Small Bushes,Tree Path,,,Tree Path,,,,6,8,33%,0,13
Woods Cushion,Moss,[placeholder],"Cloud, Rain","New Moon, Full Moon, Shooting Stars",Forest,Rock,"Tree Path, Rock Maze",,,Tree Path,,Rock Maze,,6,8,33%,0,13
Twilight Pearl,Berry,[placeholder],"Sun, Cloud","Half Moon, Full Moon",Forest,Grassy Patch,Tree Path,,,Tree Path,,,,4,12,50%,0,13
Starlight Mushroom,Mushroom,[placeholder],"Sun, Cloud, Rain",Shooting Stars,Forest,Base Of Giant Tree,Giant Tree,,,,Giant Tree,,,3,3,13%,0,13
Mooncurrant,Berry,[placeholder],"Sun, Cloud, Rain","Half Moon, Full Moon",Forest,Base Of Giant Tree,Giant Tree,,,,Giant Tree,,,6,18,75%,0,13
Crocodile Tail Grass,Herb,[placeholder],"Cloud, Rain","New Moon, Half Moon, Full Moon",Forest,Base Of Giant Tree,Giant Tree,,,,Giant Tree,,,6,14,58%,0,13
Bubblefoam,Moss,[placeholder],"Sun, Rain","New Moon, Half Moon, Full Moon, Shooting Stars",Forest,Exposed Root,Giant Tree,,,,Giant Tree,,,8,16,67%,0,13
Crystalspore,Mushroom,[placeholder],"Sun, Cloud, Rain",Half Moon,Forest,Tree Stump,Rock Maze,,,,,Rock Maze,,3,12,50%,0,13
Indigo Carpet,Moss,[placeholder],Cloud,"New Moon, Half Moon, Full Moon, Shooting Stars",Forest,Gravel,Rock Maze,,,,,Rock Maze,,4,8,33%,0,13
Mistbell,Herb,[placeholder],"Sun, Cloud, Rain","New Moon, Shooting Stars",Forest,Rockwall Base,Rock Maze,,,,,Rock Maze,,6,6,25%,0,13
Soft-rock sponge,Moss,[placeholder],"Sun, Rain","Half Moon, Full Moon",Forest,Tree Stump,Rock Maze,,,,,Rock Maze,,4,12,50%,0,13
Cragberry,Berry,[placeholder],"Sun, Rain","New Moon, Full Moon, Shooting Stars",Forest,Gravel,Rock Maze,,,,,Rock Maze,,6,8,33%,0,13
