Recipe,Description,Ingredients,,,,,,,,Steps,,,,,Difficulty,French Description,Type de description,eng text length,fr text length,donné par,ocurrence,Ingredients for Planning,First day of appearance
Mushroom Soup,A simple yet very nourishing dish. My favorite recipe to prepare with my granddaughter.,2,Brown Cap,,,,,,,Add to Cauldron,,,,,1,Un repas simple mais très nourrissant. Ma recette préférée quand je la réalise avec ma petite fille.,Simple. Souvenir.,87,100,Grandma,2,Brown Cap,Day 1
Watering Solution,Something to get any plant back on its stem.,2,Water Mushroom,1,Gleamberries,,,,,Add to Cauldron,Add to Cauldron,,,,1,De quoi remettre sur tige n'importe quelle plante.,Simple.,44,50,Rosa,2,"Water Mushroom, Gleamberries",Day 2
Forest Scent,A fragrant mix of forest notes. Reminds me of home.,1,Umbrella Lily Flower,3,Verdant Moss,,,,,Cut and Add to Cauldron,Add to Cauldron,,,,2,Un mélange odorant de notes forestières. Ca me rappelle la maison.,Simple. Souvenir.,51,66,Grandma,2,"Umbrella Lily Flower, Verdant Moss",Day 3
Raspberry Juice,A tasty juice that smells of fruits and summer. [placeholder] [to do],1,Raspberry,1,Umbrella Lily Flower,,,,,Add to Cauldron,Cut and Add to Cauldron,,,,2,"Un jus qui sent bon le fruit et l'été. Etrangement, lorsque exposé à la chaleur, il brille d'une lueur rose.",Fantaisiste. Experimental.,69,108,Keg Harlow,4,"Raspberry, Umbrella Lily Flower",Day 3
Bloom Burst,A potion that makes flowers blossom like... a flower.,2,Water Mushroom,1,Umbrella Lily,1,Twilight Pearl,,,Add to Cauldron,Cut and Add to Cauldron,Add to Cauldron,,,2,Une potion qui fait fait éclore les fleurs en un claquement de doigt.,Fantaisiste,53,69,Rosa,1,"Water Mushroom, Umbrella Lily, Twilight Pearl",Day 4
Botanic Rush,[to do] Botanic Rush,1,Woods Cushion,2,Umbrella Lily,3,Gleamberries,,,Add to Cauldron,Low Heat Bellows,Cut and Add to Cauldron,Add to Cauldron,,3,"Communément utilisé pour faire revigorer une plante. A appliquer avec précaution, la végétation se propage vite si on ne fait pas dilue pas assez la solution.",Explicatif. Préventif.,20,158,Rosa,1,"Woods Cushion, Umbrella Lily, Gleamberries",Day 5
Herbal Tea,[to do] Herbal Tea,2,Catnip,2,Woods Cushion,,,,,Low Heat Bellows,Add to Cauldron,Add to Cauldron,,,2,Un bon thé aux senteurs sylvestres. J'en bois régulièrement pour calmer mon esprit.,Simple. Contextuel.,18,83,,1,"Catnip, Woods Cushion",Day 6
Mushroom Stew,[placeholder en attendant de trouver en fr] Mushroom Stew,2,Brown Cap,2,Jade Shroom,1,Earthy Carrot,,,Cut and Add to Cauldron,High Heat Bellows,Add to Cauldron,Cut and Add to Cauldron,,3,,,57,0,Corwin,1,"Brown Cap, Jade Shroom, Earthy Carrot",Day 6
Detox Beverage,[placeholder en attendant de trouver en fr] Detox beverage,2,Twilight Pearl,1,Verdant Moss,1,Fern Celery,,,Add to Cauldron,Medium Heat Bellows,Add to Cauldron,,,2,,,58,0,,1,"Twilight Pearl, Verdant Moss, Fern Celery",Day 7
Floral Scent,[placeholder en attendant de trouver en fr] Floral Scent,3,Umbrella Lily Flower,1,Verdant Moss,1,Jade Shroom,,,High Heat Bellows,Cut and Add to Cauldron,Add to Cauldron,Cut and Add to Cauldron,,3,,,56,0,Iris,1,"Umbrella Lily Flower, Verdant Moss, Jade Shroom",Day 7
