Ingredient,Ingredient Type,Description,Weather,Lunar Cycle,Biomes,Places to spawn,Availbale Areas,French Description,Available Areas Debug Zone,,,,,Occurence brute,Occurence pondérée (nb),Occurence pondérée (%)
Brown Cap,Mushroom,A very common ingredient. Serves as a basis for most dishes.,"Sun, Cloud","New Moon, Half Moon, Full Moon, Shooting Stars",Forest,Dead Tree Trunk,Forest Entry,Un aliment très commun. Sert de base pour beaucoup de plats.,Forest Entry,,,,,8,16,67%
Raspberry,Berry,,Cloud,"New Moon, Half Moon, Full Moon, Shooting Stars",Forest,Bush,Forest Entry,,Forest Entry,,,,,4,8,33%
Water Mushroom,Mushroom,"A mushroom gorged with water. However, it doesn't replace a good ol' glass of water.",Rain,"New Moon, Half Moon, Full Moon, Shooting Stars",Forest,"Dead Tree Trunk, Base Of Tree With Small Bushes",Forest Entry,Un champignon gorgé d'eau. Ne remplace pas un bon verre d'eau.,Forest Entry,,,,,4,8,33%
Gleamberries,Berry,Berries that shine brighter than fireflies. It is said that they bring luck.,"Sun, Rain","Half Moon, Full Moon, Shooting Stars",Forest,Bush,Forest Entry,Des baies plus lumineuses que des lucioles. On dit qu'elles portent chance.,Forest Entry,,,,,6,14,58%
Umbrella Lily,Herb,A burgeoning sapling filled to the brim with refreshing sap. It feels like it could blossom at any moment.,"Cloud, Rain",Half Moon,Forest,Muddy Bank,"Forest Entry, Tree Path",Une pousse bourgeonnante gorgée de sève rafraîchissante. Elle se prépare à éclore.,Forest Entry,Tree Path,,,,2,8,33%
Umbrella Lily Flower,Herb,Quite the odorant flower. Its smell is synonym to a sunny day.,Sun,"New Moon, Full Moon, Shooting Stars",Forest,Muddy Bank,"Forest Entry, Tree Path",Une fleur odorante. Son odeur fait penser à une journée ensoleillée.,Forest Entry,Tree Path,,,(tend à être modifié),3,4,17%
Verdant Moss,Moss,A moss that can somehow grow straight up. Found in abundance in the forest.,"Sun, Cloud, Rain",Half Moon,Forest,Rock,"Tree Path, Rock Maze",Une mousse défiant la gravité. Se trouve en abondance dans la forêt.,,Tree Path,,Rock Maze,(tend à être modifié),3,12,50%
Catnip,Herb,,"Sun, Cloud, Rain","New Moon, Shooting Stars",Forest,Grassy Patch,Tree Path,,,Tree Path,,,,6,6,25%
Jade Shroom,Mushroom,,"Sun, Cloud","New Moon, Full Moon, Shooting Stars",Forest,Base Of Tree With Small Bushes,,,,,,,,6,8,33%
Woods Cushion,Moss,,"Cloud, Rain","New Moon, Full Moon, Shooting Stars",Forest,Rock,"Tree Path, Rock Maze",,,Tree Path,,Rock Maze,,6,8,33%
Twilight Pearl,Berry,,"Sun, Cloud","Half Moon, Full Moon",Forest,Grassy Patch,Tree Path,,,Tree Path,,,,4,12,50%
Starlight Mushroom,Mushroom,,"Sun, Cloud, Rain",Shooting Stars,Forest,Base Of Giant Tree,Giant Tree,,,,Giant Tree,,,3,3,13%
Mooncurrant,Berry,,"Sun, Cloud, Rain","Half Moon, Full Moon",Forest,Base Of Giant Tree,Giant Tree,,,,Giant Tree,,,6,18,75%
Crocodile Tail Grass,Herb,,"Cloud, Rain","New Moon, Half Moon, Full Moon",Forest,Base Of Giant Tree,Giant Tree,,,,Giant Tree,,,6,14,58%
Bubblefoam,Moss,,Sun,"New Moon, Half Moon, Full Moon, Shooting Stars",Forest,Exposed Root,Giant Tree,,,,Giant Tree,,,4,8,33%
,,,,,,,,,,,,,,1,#N/A,#N/A
,,,,,,,,,,,,,,1,#N/A,#N/A
,,,,,,,,,,,,,,1,#N/A,#N/A
,,,,,,,,,,,,,,1,#N/A,#N/A
,,,,,,,,,,,,,,1,#N/A,#N/A
