Ingredient,Ingredient Type,Description,Weather,Lunar Cycle,Biomes,Places to spawn,Availbale Areas,French Description,Available Areas Debug Zone,,,,,Occurence brute,Occurence pondérée (nb),Occurence pondérée (%),nb car (fr),nb car (en),occurence in recipes,occurence * utilisations in recipes,occurence in planning,équilibrage à la mano
Brown Cap,Mushroom,A very common ingredient. Serves as a basis for most dishes.,"Sun, Cloud","New Moon, Half Moon, Full Moon, Shooting Stars",Forest,Dead Tree Trunk,Forest Entry,Un aliment très commun. Sert de base pour beaucoup de plats.,Forest Entry,,,,,8,16,67%,60,60,3,5,0,2
Raspberry,Berry,"Found all throughout these woods. It very apreciated for it's sweet flavor, its scent and its bright color",Cloud,"New Moon, Half Moon, Full Moon, Shooting Stars",Forest,Bush,Forest Entry,"Une baie répandue dans les bois. Elle est appréciée pour son goût, son odeur et sa couleur.",Forest Entry,,,,,4,8,33%,91,106,3,3,4,
Water Mushroom,Mushroom,"A mushroom gorged with water. However, it doesn't replace a good ol' glass of water.",Rain,"New Moon, Half Moon, Full Moon, Shooting Stars",Forest,"Dead Tree Trunk, Base Of Tree With Small Bushes","Forest Entry, Tree Path",Un champignon gorgé d'eau. Ne remplace pas un bon verre d'eau.,Forest Entry,Tree Path,,,,4,8,33%,62,84,3,5,3,
Gleamberries,Berry,Berries that shine brighter than fireflies. It is said that they bring luck.,"Sun, Rain","Half Moon, Full Moon, Shooting Stars",Forest,Bush,Forest Entry,Des baies plus lumineuses que des lucioles. On dit qu'elles portent chance.,Forest Entry,,,,,6,14,58%,75,76,4,7,4,
Umbrella Lily,Herb,A burgeoning sapling filled to the brim with refreshing sap. It feels like it could blossom at any moment.,Rain,"New Moon, Half Moon",Forest,Muddy Bank,"Forest Entry, Tree Path",Une pousse bourgeonnante gorgée de sève rafraîchissante. Elle se prépare à éclore.,Forest Entry,Tree Path,,,,2,5,21%,82,106,3,4,4,
Umbrella Lily Flower,Herb,Quite the odorant flower. Its smell is synonym to a sunny day.,Sun,"New Moon, Full Moon, Shooting Stars",Forest,Muddy Bank,"Forest Entry, Tree Path",Une fleur odorante. Son odeur fait penser à une journée ensoleillée.,Forest Entry,Tree Path,,,(tend à être modifié),3,4,17%,68,62,3,5,2,1
Verdant Moss,Moss,A moss that can somehow grow straight up. Found in abundance in the forest.,"Sun, Cloud, Rain",Half Moon,Forest,Rock,"Tree Path, Rock Maze",Une mousse défiant la gravité. Se trouve en abondance dans la forêt.,,Tree Path,,Rock Maze,(tend à être modifié),3,12,50%,68,75,4,6,2,2
Catnip,Herb,[placeholder en attendant de trouver en fr] ,"Sun, Cloud, Rain","New Moon, Shooting Stars",Forest,Grassy Patch,Tree Path,"Une herbe à la senteur mentholée. Bien que poussant très rarement, les chats en raffolent.?",,Tree Path,,,,6,6,25%,91,44,3,4,2,
Jade Shroom,Mushroom,[placeholder en attendant de trouver en fr] ,"Sun, Cloud","New Moon, Full Moon, Shooting Stars",Forest,Base Of Tree With Small Bushes,Tree Path,placeholder Jade Shroom,,Tree Path,,,,6,8,33%,23,44,3,5,1,2
Woods Cushion,Moss,"A usefull blob of green stuff when you're out camping. When pressed, it gives a concentrated chlorophylle juice with medicinal properties","Cloud, Rain","New Moon, Full Moon, Shooting Stars",Forest,Rock,"Tree Path, Rock Maze","Un tas de verdure utile lorsqu'on campe dehors. Pressé, il donne un jus concentré en chlorophylle aux vertus médicinales. ",,Tree Path,,Rock Maze,,6,8,33%,122,137,4,5,2,
Twilight Pearl,Berry,[placeholder en attendant de trouver en fr] ,"Sun, Cloud","Half Moon, Full Moon",Forest,Grassy Patch,Tree Path,Une baie unique poussant au bout d'une longue tige. ?,,Tree Path,,,,4,12,50%,53,44,3,4,2,1
