Narrative Block,Client,Command,,,,Text,Thanks,Money,Can advance Quest Progression?,Days after Success,French Text,French Thanks
Grandma First Letter,Grandma,,,,,"Sugar Plum,

I hope you're well installed in your new home. I left you a few books that you might enjoy before leaving. Don't forget to eat well or you'll be all skin and bone!

You may find a few coins within this letter, you could use them to help you out in your first steps. Perhaps try going to the forest, go for a stroll, I'm sure you'll find amazing mushrooms.

Love,",,10,FALSE,,,
Grandma First Orders,Grandma,Mushroom Soup,,,,"Pumpkin,

In the previous letter, I completely forgot I wanted to place an order.

Could you please prepare our beloved Mushroom Soup for me? I would like to think about you for supper.

I am already rejoicing in anticipation,","Thank you very much for this delicious mushroom soup!

Look at how far you've come to not even need my help anymore, a true chef!

Here's a little something as a token of gratitude.

Lots of love,",10,TRUE,1,"Ma chérie,

Dans ma précédente lettre, j'ai complètement oublié de te passer commande.

Pourrais-tu me préparer notre merveilleuse soupe de champignons ? J'aimerais penser à toi lors de mon prochain souper.

Je m'en réjouis déjà,","Merci beaucoup pour cette délicieuse soupe de champignons.

Tu n'as même plus besoin de mon aide pour la réaliser comme une cheffe.

Voici un petit quelque chose pour te remercier.

Gros bisous."
Rosa Orders,Rosa,Watering Solution,,,,"Little one,

I have heard from your Grandmother that you're taking the reins of the potion making business and I happen to need some help, perfect timing! 

See, one of my precious plants hasn't been doing so well lately. She would need a Watering Solution to regain her former vitality, care to help it out?

Sincerely,","Your Watering Solution rejuvenated my baby!

She was back on her stem in no time and she's now more beautiful than ever.

I will definetly call upon your services again in the future.

Best wishes,",20,FALSE,2,"Mon petit,

Ta grand-mère m'a dit que tu te lançais dans une affaire de potions. C'est une très bonne chose, il faut bien gangner sa croûte.

J'ai justement une commande pour toi. Vois-tu, j'ai une de mes plantes complètement patraque. Elle aurait bien besoin d'une Watering Solution pour retrouver sa vivacité d'antan.

Cordialement,","Ta Watering Solution n'a fait qu'un tour dans la sève de ma plante.

Elle s'est revigorée en moins de deux, et est plus belle que jamais.

Je referai appel à tes services à l'avenir.

Bonne continuation."
Grandma First Orders,Grandma,Forest Scent,,,,"Kitten,

I know you must be quite busy, but I need your help for something.

I miss home. Usually I go on walks in the forest as it makes me feel more at home. But alas, as you know, my legs aren't what they used to be, which is why I'd like you to prepare a Forest Scent for me.

Happy brewing,","I have received your potion, I feel closer to home thanks to you.

Ah, it reminds me of the times we used to take strolls in the forest together, I do hope we do that again sometime in the future.

A job well done calls for a little reward, here you go.

Take care,",50,FALSE,1,"Ma puce,

Je sais que tu es très occupée, mais j'aurais une requête.

La maison me manque. Habituellement, je m'en vais faire une balade en forêt pour me sentir un peu plus à la maison. Mais hélas, tu sais, mes jambes ne sont plus ce qu'elles étaient, c'est pourquoi j'aimerais que tu me prépares une Forest Scent.

Bonne préparation,","J'ai bien reçu ta potion, et grâce à toi, je me sens un peu plus chez moi.

Ah, ça me rappelle quand nous nous baladions en forêt toutes les deux.

Ton travail vaut bien un petit quelque chose.

Prends bien soin de toi."
Keg Orders,Keg Harlow,Raspberry Juice,,,,"This is an offer,

I run a juice bar around town and my previous supplier has hung up his distillery. I am looking for someone that can make Raspberry Juice. Send in a sample and we'll talk business

To a successful partnership,","Greetings,

Thank you for taking up my offer. The sample is of unprecedented quality. I look forward to do business with you again.

As advertised, here is your due payment for the sample.

Here's to a lucrative partnership,",1,FALSE,5,"Ceci est une offre d'appel. 

Je suis gérant d'un bar à jus et le précédent fournisseur de breuvage est parti à la retraite. Je cherche une personne pouvant réaliser le Raspberry Juice. Envoyez-en un échantillon et nous ferons affaire. 

En espérant former un parteneriat fructueux, ","Salutations,

Merci à vous d'avoir répondu à mon offre. L'échantillon est d'une qualité sans précédente. J'ai hâte de refaire affaire avec vous.

Comme indiqué, voici un premier versement en accord avec votre livraison.

En espérant que notre partenariat soit propère,"
Rosa Orders,Rosa,Bloom Burst,,,,"Little one,

Given how well your potion worked its magic last time, I'd like to ask for your services again.

See, I have just sown seeds for my favorite flower and I would really like to admire their radiant colors ASAP. A Bloom Burst would be of great aid for these babies if you would be so kind.

Kind regards,","Calling upon you was definitly the right choice Little one.

My babies have bloomed in the blink of an eye, and they look magnificent! Oh how I love them!

Your payment is more than deserved.

Until next time,",40,FALSE,1,"Mon petit,

Je viens de semer quelques graines de mes fleurs préférées, vois-tu, et j'aimerais pouvoir admirer leurs couleurs aussi vite que possible. Un Bloom Burst ne serait pas de refus pour leur donner un petit coup de pouce.

Ta dernière potion a tellement bien fonctionné sur mon bébé que j'ai décidé de me tourner à nouveau vers toi pour cette nouvelle demande.

Cordialement,","J'ai définitivement bien de faire appelle à tes services, mon petit.

Mes bébés fleurs ont éclos en quelques secondes. Que je les aime !

Tu as bien mérité ton paiement.

Bonne continuation."
Rosa Orders,Rosa,Botanic Rush,Watering Solution,,,"Little one,

My babies have bloomed into magnificent flowers, but I wish there were more of them.

I am certain that you can make a Botanic Rush, it will allow me duplicate my babies. I cannot wait to see my house turn into a sumptuous garden! Just imagine plants and flowers growing all over the place, i would get swarmed by my babies!

Sincerely,","Unbelievable, my house is completly unrecognisable. All theses flowers... It is truly a sight to behold!
You have made my wildest dreams come to reality!
Now, all my babies are waiting for me. I must give them all my love now.
And for you, that means jackpot. Use that money well little one.

Farewell,",1,TRUE,5,"Mon petit,

Mes bébés produisent de magnifiques fleurs, mais je trouve qu'il n'y en a pas assez. 

Je suis certaines que tu peux réaliser cette Botanic Rush, elle permettra de dupliquer mes bébés. J'ai hâte de voir ma maison transformée en un somptueux jardin! Imagine donc, des plantes et des fleurs partout, je serais entourée par d'innombrables de mes bébés! 

Sincèrement,","C'est incroyable, c'est à peine si je reconnais ma maison. Toutes ces fleurs, c'est vraiment magnifique! 

Tu as réalisé mon rêve! 

Tous ces bébés m'attendent. Il faut que j'aille leur donner tout mon amour. 

Profite-bien du pactole que je t'envoie. 

Bonne continuation."
Grandma Orders Two,Grandma,Mushroom Stew,Herbal Tea,,,[placeholder anglais] Grandma Mushroom Stew et Herbal Tea,[placeholder anglais] Grandma Mushroom Stew et Herbal Tea THANK YOU,1,TRUE,5,"Ma puce,

Je m'amuse à [trouver activité]. Il me faudrait un Herbal Tea, qui m'aidera à me concentrer. 

Bonne préparation,",
Corwin Orders,Corwin,Raspberry Juice,Mushroom Soup,,,"Hello,

I am a big time juice amateur and Keg advised to take a look at your wares. Could you also add in a Mushroom Soup ? I've got quite a road to travel for my next delivery.

Thanks in advance,","Hello,

Thank you, the Raspberry Juice is delicious indeed! And your Mushroom Soup was just as good too. I will definetly come back for more.

See you soon!",1,FALSE,5,"Bonjour à vous,

Je suis un grand amateur de jus, et Keg m'a conseillé de me fournir directement chez vous. Pourriez-vous aussi ajouter une ""Mushroom Soup"" ? J'ai pas mal de route entre deux points de livraisons. 

Merci d'avance,","Bonjour à vous,

Je vous remercie. Le Raspberry Juice est définitivement un délice. Et votre Mushroom Soup est tout aussi bonne. Je n'hésiterai pas à commander à nouveau.

A bientôt !"
Keg Orders 2,Keg Harlow,Raspberry Juice,Detox Beverage,,,"Salutations,

I once again request a Raspberry Juice. Furthermore, I want to sell a new drink : the Detox Beverage. Thank you in advance for providing.

Awaiting your delivery,","Greetings,

Thank you. I have received the shipment, your work remains of unprecedented quality.
You will find your payment attached to this letter.

See you soon for a new order,",1,FALSE,5,"Salutations,

J'ai à nouveau besoin d'un Raspberry Juice. De plus, je souhaite vendre une nouvelle boisson : le Detox Beverage. Je vous remercie d'avance de m'en fournir. 

Dans l'attente de votre commande,","Salutations,

Merci à vous. J'ai bien reçu la commande. Votre travail est toujours d'une qualité sans précédent.

Veuillez trouver le versement asssociée à la commande.

A bientôt pour une prochaine commande,
"
